user_query,intent
Tell me about the City Explorer package from Mumbai to London.,database_related
Tell me about the Roman Holiday package from Paris to Rome.,database_related
Tell me about the Weekend Getaway package from Hong Kong to Mumbai.,database_related
What is the cost of the Weekend Getaway package from Paris to Hong Kong?,database_related
Tell me about the Luxury Getaway package from London to Hong Kong.,database_related
Tell me about the City of Angels Experience package from New York to Los Angeles.,database_related
Can you recommend a local market in Seoul?,general
What is the cost of the Adventure Escape package from London to Mumbai?,database_related
Tell me about the Luxury Getaway package from Hong Kong to London.,database_related
Tell me about the Tokyo Discovery package from Sydney to Tokyo.,database_related
What are the best places to visit in London?,general
What is the cost of the Roman Holiday package from Paris to Rome?,database_related
Tell me about the Weekend Getaway package from Mumbai to Paris.,database_related
Can you suggest an adventure escape in Mumbai?,database_related
Tell me about the Beach Retreat package from Hong Kong to Mumbai.,database_related
Tell me about the Weekend Getaway package from Hong Kong to Mumbai.,database_related
What is the cost of the Cultural Immersion package from Hong Kong to Mumbai?,database_related
How can I book a hotel in Hong Kong?,general
How many nights are included in the Roman Holiday package from Paris to Rome?,database_related
Tell me about the City Explorer package from Mumbai to London.,database_related
Tell me about the Luxury Getaway package from Paris to Mumbai.,database_related
Can you recommend budget-friendly accommodations in Mumbai?,general
Tell me about the local transportation options in Mumbai.,general
Tell me about the City Explorer package from Hong Kong to Mumbai.,database_related
What are the travel options from Sydney to Tokyo?,general
How much does the Oceanic Escape package from Sydney to Auckland cost?,database_related
Are there any travel packages from London to Paris?,database_related
How can I plan a budget-friendly trip to Paris?,general
What is the cost of the Adventure Escape package from Mumbai to London?,database_related
What is the cost of the Roman Holiday package from Paris to Rome?,database_related
Tell me about the local cuisine in Hong Kong.,general
Can you suggest a Roman Holiday in Paris?,database_related
Tell me about the Kiwi Adventure package from Auckland to Sydney.,database_related
What is the cost of the Tango and Samba package from Rio de Janeiro to Buenos Aires?,database_related
Tell me about the Weekend Getaway package from Paris to Hong Kong.,database_related
Tell me about the City Explorer package from Hong Kong to Mumbai.,database_related
Tell me about the Cultural Immersion package from Mumbai to Hong Kong.,database_related
What is the cost of the Adventure Escape package from Mumbai to London?,database_related
How many nights are included in the City Explorer package from Hong Kong to London?,database_related
Tell me about the Cultural Immersion package from London to Mumbai.,database_related
Can you suggest a Roman Holiday in Paris?,database_related
Tell me about the Luxury Getaway package from London to Hong Kong.,database_related
How many days does the Roman Holiday package from Paris to Rome last?,database_related
What is the cost of the Adventure Escape package from London to Mumbai?,database_related
Can you suggest a beach retreat in Mumbai?,database_related
Are there direct flights from Hong Kong to Mumbai?,general
What is the cost of the Weekend Getaway package from Mumbai to Paris?,database_related
What are the must-visit places in Auckland?,general
Tell me about the Cultural Immersion package from Mumbai to Hong Kong.,database_related
What is the cost of the Weekend Getaway package from Mumbai to Paris?,database_related
How many days does the City Explorer package from Mumbai to London last?,database_related
How can I plan a budget-friendly trip to Paris?,general
How long is the flight from London to Mumbai?,general
Tell me about the Tokyo Discovery package from Sydney to Tokyo.,database_related
Tell me about the City Explorer package from Mumbai to London.,database_related
What are the popular attractions in London?,general
Tell me about the Roman Holiday package from Paris to Rome.,database_related
Tell me about the City Explorer package from Hong Kong to Mumbai.,database_related
What is the cost of the Beach Retreat package from Hong Kong to Mumbai?,database_related
What are the travel options from Paris to London?,general
Tell me about the City Explorer package from London to Mumbai.,database_related
Are there direct flights from London to Mumbai?,general
Can you recommend a historical tour in Mumbai?,database_related
Tell me about the Adventure Escape package from Hong Kong to London.,database_related
How can I find affordable flights from Mumbai to Hong Kong?,general
Can you recommend a Roman Holiday in Paris?,database_related
What is the cost of the Weekend Getaway package from Paris to Hong Kong?,database_related
Tell me about the Cultural Immersion package from London to Mumbai.,database_related
How many days does the Beach Retreat package from Hong Kong to Mumbai last?,database_related
What is the best time to visit Barcelona?,general
Tell me about the traditional dishes in Tokyo.,general
Tell me about the Luxury Getaway package from Paris to Mumbai.,database_related
What is the cost of the Adventure Escape package from London to Mumbai?,database_related
How many days does the Beach Retreat package from Hong Kong to Mumbai last?,database_related
How can I experience the Carnival in Rio de Janeiro?,general
Tell me about the Weekend Getaway package from Hong Kong to Mumbai.,database_related
What is the cost of the Roman Holiday package from Paris to Rome?,database_related
Tell me about the City of Angels Experience package from New York to Los Angeles.,database_related
How can I book a hotel in Hong Kong?,general
How much does the Oceanic Escape package from Sydney to Auckland cost?,database_related
Tell me about the Mediterranean Delight package from Rome to Barcelona.,database_related
Can you suggest a Tech and Tradition experience in Seoul?,database_related
Tell me about the Kiwi Adventure package from Auckland to Sydney.,database_related
What is the cost of the Tango and Samba package from Rio de Janeiro to Buenos Aires?,database_related
What is the weather like in Tokyo in November?,general
Can you suggest a Tech and Tradition experience in Seoul?,database_related
Tell me about the Roman Holiday package from Paris to Rome.,database_related
What is the cost of the Roman Holiday package from Paris to Rome?,database_related
How many days does the Roman Holiday package from Paris to Rome last?,database_related
Are there any famous landmarks in Sydney?,general
What is the cost of the Roman Holiday package from Paris to Rome?,database_related
Tell me about the Roman Holiday package from Paris to Rome.,database_related
What is the cost of the Roman Holiday package from Paris to Rome?,database_related
Can you suggest a Roman Holiday in Paris?,database_related
What is the cost of the Roman Holiday package from Paris to Rome?,database_related
Tell me about the Roman Holiday package from Paris to Rome.,database_related
How can I experience the Carnival in Rio de Janeiro?,general
How many days does the Roman Holiday package from Paris to Rome last?,database_related
Tell me about the Roman Holiday package from Paris to Rome.,database_related
What is the weather like in Tokyo in November?,general
Can you suggest a Roman Holiday in Paris?,database_related
How can I find affordable flights from Mumbai to Hong Kong?,general
What are the best places to visit in London?,general
Tell me about the local cuisine in Hong Kong.,general
Can you recommend budget-friendly accommodations in Mumbai?,general
Tell me about the Tokyo Discovery package from Sydney to Tokyo.,database_related
How much does the Beach Paradise package from Tokyo to Sydney cost?,database_related
What are the popular attractions in London?,general
Tell me about the City of Angels Experience package from New York to Los Angeles.,database_related
Is there an Urban Adventure package from Los Angeles to New York?,database_related
Can you recommend a Roman Holiday in Paris?,database_related
Tell me about the Mediterranean Delight package from Rome to Barcelona.,database_related
What is the cost of the Seoul Adventure package from Tokyo to Seoul?,database_related
Can you suggest a Tech and Tradition experience in Seoul?,database_related
What are the travel options from Sydney to Auckland?,general
Tell me about the Kiwi Adventure package from Auckland to Sydney.,database_related
How much does the Oceanic Escape package from Sydney to Auckland cost?,database_related
What are the must-visit places in Auckland?,general
What is the cost of the Tango and Samba package from Rio de Janeiro to Buenos Aires?,database_related
Tell me about the Carnival Celebration package from Buenos Aires to Rio de Janeiro.,database_related
Tell me about the local transportation options in Mumbai.,general
